txt	polarity
RT USERNAME: أورينت نيوز| اللاجئون السوريون يؤيدون فتح جبهة الساحل URL #syria #سوريا 	Negative
\"USERNAME: منسقه الاتحاد الاوروبي كاثرين اشتون تبين سبب دعم الغرب للانقلاب في مصر !  #مصر #سوريا #تونس #ليبيا . URL 	Neutral
احضنوا سوريا في دعواتكم #ساعه_استجابه 	Positive
RT USERNAME: يَ مالك السّماء ارفع عن سوريا وبورما  ومصر وفلسطين والعراق البلااااااء والمسلمين في كل مكان.. آمين يارب♡ 	Positive
#انتخبوا_العرص اهم ما يميز تلك المرحلة هى دخول الشعوب العربية المعادلة  استمرار الثورة فى سوريا ومصر والعراق يخلط جميع الأوراق 	Negative
RT USERNAME: لن و لن يحكم سوريا  الشيعة الخنازير  .... سوريا لنا و لن تكون مجوسية شيعية .... سنحرر سوريا من كلاب الخميني URL 	Negative
#سوريا ..عندما تبكي طفلةً في وجه الصباح ، ماذا يعني الأمل ؟ 	Negative
RT USERNAME: هنا الألم </3  هنا سوريا <3 URL 	Negative
RT USERNAME: : المعارضة تتهم #الأسد باستخدام الكيمياوي 14 مرة بـ2014 #العربية #سوريا URL URL" 	Negative
#شام #سوريا | #ريف_دمشق : تجدد القصف من قبل قوات النظام على مدن وبلدات الغوطة ال... ... URL 	Negative
#شام #سوريا | ريف #ديرالزور : قوات النظام تقصف براجمات الصواريخ مدينة موحسن. ... URL 	Negative
أموي #سوريا •  #حمص : أكثر من 15 شـْـْهيد و عشرات الجرحى في حصيلة أولية لضحايا انفجار السيارة المفخخة عند مسجد بلال الحبشي عقب صلاة الجمعة 	Negative
: #سوريا - مصادر: مقتل ضابط في المخابرات الجوية بحلب خلال اشتباكات مع الجيش الحر\" 	Negative
RT USERNAME: #شام #سوريا | #ديرالزور : قوات النظام تجدد القصف بالمدفعية على حي الحويقة وسط إشتباكات متقطعة تدور على أطراف الحي. 	Negative
RT USERNAME: لو اللي يقاتلون نظام بشار رياييل كان من زمان أنقذوا سوريا لكن الله وكيلك كلهم مهايطجية وفيه دعاة مهايطجية مثل محمد العريفي و… 	Negative
#Saudi #Syria #Egypt #Iran #Turkey  من #سوريا الى #تركيا و #مصر .. سياسات بندر الفاشلة ورطت #السعودية وانهت عليه... URL 	Negative
#سورية #حلب اللهم أوقف طائرات الطاغيةبقدرتك أنت القادرعلى كل شيئ فقد عظمت المصيبةو قلت الحيلةو خذلهم العالم ولاناصرلهؤلاء المظلومين إلا أنت 	Negative
RT USERNAME: وصية الصحابي عبدالله بن رواحة للمجاهدين في سبيل الله الذين يستعظمون قوّة العدوّ وعَدَده:  #سوريا #الجهاد #Syria  🔘 URL 	Positive
RT USERNAME: الشبيحة منذ ثلاثين سنة! صورة من مجزرة حماة عام ١٩٨٢ URL اللهم عليك ببشار النعجه واعوانه #الجيش_الحر #سوريا 	Negative
أموي #سوريا •   فرقة تحرير الشام اللواء الثاني التصدي لعصابات الاحتلال النصيري على جبهة النعيمة بمحافظة درعا... URL 	Negative
USERNAME سوريا المستقبل الحرة 	Positive
RT USERNAME: أتقتل تحت ردم البيت جهرا وعين العالمين هنا تطل بتاريخ الورى شهدت ألوف جرائم بعضهم واليوم كل #سوريا  #سوريا_لك_الله 	Negative
#سوريا #Syria  #أطفال_سوريا #انتخبوا_الجحش #انقذوا_حلب  #حلب قذائف هاون وعشرات الشهداء والجرحى من المدنيين 17-4-2014 URL 	Negative
#سورية #حلب سقوط صاروخ ( ارض - ارض ) على احياء حمص المحاصرة  #SRN 	Negative
USERNAME  ألم يكن مطرودا من سوريا . 	Negative
RT USERNAME: اللهم انصر إخواننا في الشام واغثهم  اللهم أشفي مرضاهم وداوي جرحاهم وتقبل شهدائهم لاتبخلون على اهل سوريا بالدعاء http://… 	Positive
RT USERNAME: #حلب #دار_عزة   مؤثر..ردة فعل طفلة بعد غارة للطيران الحربي على منزلها URL 	Negative
RT USERNAME: الثلج نازل والمجاهد صاعد..  #سورية   URL URL 	Positive
#سوريا #syria  تجدد القصف من قبل قوات النظام على مدن وبلدات #الغوطة_الشرقية #ريف_دمشق 	Negative
RT USERNAME: سورية || الانتخابات تربك رعاة الارهاب URL 	Negative
RT USERNAME: في مصر ولاية المتغلب في نسختها السنية تستعين بالأزهر. في سوريا والعراق تستعين بولاية الفقية. وهذه الأخيرة هي ولاية المتغلب بن… 	Negative
RT USERNAME: ثورة سوريا توحي على ان نهاية العالم قريبة on YouTube - ثورة سوريا توحي على ان نهاية العالم قريبة و الذلي…: URL 	Negative
RT USERNAME: أموي #سوريا •   ضمن المعارك الدائرة بمحيط مـْـْطار دير الزور العسكري - موقع قناة السوري الحر  freesyria.tv  دير... URL 	Negative
RT USERNAME: ستعود سوريا باسمة ، وتعود مصر آمنة، ويعود العراق شامخ وتعود ليبيآ زآهره، ونُصلي في الأقصى معاً :') أحلامٌ تملأ قلوبنا وا… 	Positive
USERNAME  مرحبا اخوي انا اخوك من سوريا من دمشق اريد الذهاب للدراسة الى توليدو لعدة اسباب وعندي عدة استفسارات اتمنى المساعدة ولك جزيل الشكر. 	Neutral
RT USERNAME: #صور_مؤثره من سوريا هـذه صورة لسوري يودّع زوجة والجنين الذي كان في بطنها شهيد أيضا  ان لله وانا اليه راجعون  URL 	Negative
#Iran #Syria #سوريا #اميركا تقرر بيع ناطحة سحاب تملكها #ايران في نيويورك... URL 	Neutral
RT USERNAME: اخر ساعه في يوم الجمعه الدعاء فيها مستجاب ادعوا لأخواننا المسلمين في سوريا وفي بورما وفي كل مكان 	Positive
USERNAME USERNAME  الغربه حين تلتفت تجدمن حولك يغضون ابصارهم ولا يشعرون بحجم الألم الذي يسكنك الا دقائق معدوده تماماً كحال سوريا 	Negative
RT USERNAME: أمة نيوز| بالفيديو.. لواء الحق يدحر قوات الأسد في “غوطة دمشق” ويُسقط قتلى وجرحى: اشتدت المعارك الي... URL #سوريا 	Negative
(هو الحي لا إله إلا هو فادعوه مخلصين له الدين الحمد لله رب العالمين) [غافر:65]  URL #ربي انصر سوريا 	Positive
RT USERNAME: #دعاء  اللهم اجعل لأهل سوريا فرجا اللهم واحقن دماءهم واحفظ أعراضهم وآمنهم في وطنهم اللهم واكشف عنهم البلاء 	Positive
اعلان وجود تنظيم القاعدة في سوريا اعطى فرصة للولايات المتحدة والنظام السوري كانوا ينتظرونها   #كلمة_الظواهري_الواقع_بين_الألم_والأمل 	Negative
RT USERNAME: “USERNAME: منقول عن ثوار #حمص   #سوريا URL” 	Neutral
#سوريا  عندما يبكي الرجل .. فاعلم ان المصيبة لم تصبه هو بل أصابت كل غالي ورخيص .. URL 	Negative
#سوريا | واشنطن تؤكد تمسكها بالدبلوماسية لحل أزمة سوريا - الوفد URL #أخبار #syria #news 	Neutral
USERNAME بدل ما عاملين أبطال يروحو يشوفو اليهود ولا ما بيقدرو عليهم و بحاربو السوريين يا أشفي عليكي يا سوريا الكل خربك 	Negative
RT USERNAME: #شام #سوريا|ريف #درعا: سقط برميلين متفجرين من الطيران المروحي على بلدة الغارية الغربية. 	Negative
RT USERNAME: السلام عليكم ورحمة #الله وبركاته #مصر #سوريا #غزة #ليبيا #اليمن #الأردن #مسقط #Egypt #KSA #UAE URL #US… 	Neutral
USERNAME سيادة الرئيس عندى سؤال واتمنى ان تجبنى عليه بكل وضوح الى متى ستتركون سوريا واطفالها ونسائها وشبابها وشيوخها يموتون فى كل لحظه 	Negative
#Syria اللاذقية: جبل التركمان: الطيران الحربي يلقي أربعة براميل متفجرة على قرى الجبل Lattakia:... URL via FaceBook 	Negative
RT USERNAME: #شام #سوريا | #ديرالزور : تجدد الإشتباكات بين الجيش الحر وقوات النظام على أسوار مطار ديرالزور العسكري. 	Negative
RT USERNAME: ثياب #النبي مساوية لجلباب #ماركس  المهم الوصول وتدمير #الإسلام..  #اليمن #الحوثيين #سوريا #الكويت #السعودية #الاسلام http:/… 	Negative
RT USERNAME: #كاريكتير الشيطان يستعيذ من حكامنا .. أعوذ بالله من الحاكم الرجيم !! #سوريا #الجزائر #مصر #فلسطين ..الخ  USERNAME http… 	Negative
RT USERNAME: في التغريدتين السابقتين.. جانب من رسالة أم من أهل حلب  خصوا سوريا وأهلها بالدعاء في هذه الساعة المباركة وادعوا الله وأنتم موقنون بالإجابة 	Positive
USERNAME غداً تشرق الشمس يا صدقي .. والغيمة السوداء تنقشع  .. سوريا ستعود بهية وبوجه اكثر اشراقاً بإذن الله/ وصباحك ياسمين دمشقي 	Positive
RT USERNAME: في خاطرة ألف قصه جعلته لا يطيق النظر الى الواقع #سوريا #اطفال_سوريا URL 54 	Negative
#سوريا ريف اللاذقية  تجمع نصرة المظلوم  قامت سرية الصواريخ التابعة لتجمـْـْع نصرة المظلوم اليوم بإستهداف مدينة... URL 	Negative
#ليبيا قوى لبنانية وفلسطينية تجدد وقوفها إلى جانب سورية URL 	Positive
RT USERNAME: أموي #سوريا •   ضمن المعارك الدائرة بمدينة حمص - موقع قناة السوري الحر  freesyria.tv  حمص : تمكن ابطال الجيش... URL 	Positive
#مميز حرمة دماء المسلمين | الشيخ أيمن #الظواهري URL #أحرار_الشام #جبهة_النصرة #السنة #سوريا #اليمن #مصر #الجزيرة 	Neutral
RT USERNAME: #ريف_دمشق : سقوط عدة قذائف هاون على #كشكول قبل قليل ولا معلومات عن اصابات حتى الآن.   #جرمانا #jaramana #سورية... URL 	Negative
#أوغاريت ||#سوريا :: #حلب : #جسر_الحج , سقوط برميل متفجر بالقرب من دوار جسر الحج ... URL 	Negative
إخلاء سبيل الشيخ والعريبي بعد اعتقالهما أثناء عودتهما من زيارة السيدة زينب في سورية. عودتهما من الزيارة أو القتال في صف حزب الشيطان #Bahrain 	Negative
RT USERNAME: هل تستحق الرتويت ..؟؟  اللهم انصر اخواننا في سوريا URL 	Positive
RT USERNAME: #أخبار_المجد يالله كن ل #سوريا  #فلسطين #العراق و #بورما و كل بلاد المسلمين المنكوبه  يالله مالنا غيرك يا الله . 	Negative
#شبكه_مباشر :: جنبلاط: سوريا تتجه نحو التفكك.. والأسد الأب بناها قوية والابن يدمر كل شيء  قال رئيس الحزب التقدمي... URL 	Negative
#Syria درعا: الغرايا: قصف بالمدفعية الثقيلة تستهدف البلدة Daraa: Gharaya: Artillery shelling target... URL via FaceBook 	Negative
\"USERNAME: لاتبكي يا طفل سوريا فالنصر قادم لامحالة  #المقابيس #كنز_المسلم #سوريا_تتجمد_والعالم_يتفرج URL" 	Negative
#أخبار -  قصف حمص والمليحة واشتباكات بأنحاء سوريا - الجزيرة   URL #سوريا #Syria  سوريا - Google News 	Negative
USERNAME   اليوم انتهيت من قراءة كتاب ثورة أمة   كتبها المؤلف بحروف ..كلها دم و دموع  اللهم كن لإخواننا في سوريا URL 	Negative
RT USERNAME: يا سوريا ربك معك ﻻتبكين          واليا بكيتي من يلوم الدمعه. . حنا العرب ما نعرف اﻻ نحكي وندعي على بشار يوم الجمعة! !    … 	Negative
\"لحظة عـجــز\".. بانتظار خروج الــروح.. والله ستسألون عن تخاذلكم هذا يا حكام العرب !!  #سوريا  URL 	Negative
USERNAME USERNAME   تروح لم ديرتكم الاصل ؟؟ خذ انس وحطه عند اهله في سوريا 	Negative
اطفال بين برد الشتاء ونار الرصاص (هُنا يعيشون ) اللهُم احفظهم بـ عينك التي لآ تنام .🌹      #سوريا URL 	Negative
USERNAME طيب وهل انت في ارض سوريا وجلست مع الدولة الاسلامية 	Neutral
RT USERNAME: في سوريا الأموات تنتخب .. لكن في الجزائر الأموات تترشح للانتخابات ! 	Negative
#سوريا اللهم إن لنا إخواناً في الشام يقاتلون في سبيلك لا يرجون إلا ما عندك اللهم فثبت أقدامهم وأطعم جائعهم وأمن خائفهم وسدد رميهم يا كريم 	Positive
RT USERNAME: جنبلاط: سوريا تتجه نحو التفكك - الوفد URL #Syria 	Negative
RT USERNAME: افلام جنس خليجي   URL   سكس سكسي جنس جنسي صور السعودية مصر الاخوان سوريا العراق شعر ابيات محارم ورعان بنا… 	Neutral
Repost: \"الرقة تذبح بصمت\".. ناشطون يفضحون ممارسات داعش URL #news #syria 	Negative
RT USERNAME: النظام النصيري يريد إفشال الجهاد في #سوريا! واستطاع اختراق الدولة بالمخابرات ولهذا فأفضل طريق للتخلص من المجاهدين يكون عبر فت… 	Negative
RT USERNAME: أموي #سوريا •     - #ريف_دمشق - #القلمـْـْون - #وادي_بردى - #عاجل -   إستهداف قرية #اشرافية_الوادي بالرشاشات... URL 	Negative
RT USERNAME: ابن مصور قناة المنار الذي قتل في سورية، صورته هنا وهو يوزع حلوى في الضاحية مبتسم وفرح عند سقوط القصير . URL 	Negative
أوغاريت ريف دمشق اللحظات الأولى بعد الغارة الجوية على الساحة الرئيسية لبلدة المليحة وسقوط جرحى 18 04 URL #syria #سوريا 	Negative
USERNAME اللعنة عليكم وعلى جهاد الجنس والحور العين  ي واطي تف عليك وع اللي زتك في سورية 	Negative
RT USERNAME: #غرد_بالخير #غرد_بصورة #دبي #السعودية #سوريا #العراق #الكويت #عمان #قطر URL 	Positive
USERNAME سوريا كيفها 	Neutral
USERNAME  ونسأل الله أن يرحم ويغيث ويعين وينصر أهلنا الضعفاء المظلومين المقهورين المؤمنين بالله في سوريا وفي كل بلاد الله  يااارب آامين 	Positive
RT USERNAME: اردوغان كدا لابس جريمة حرب بعد اثبات تورطه فى ضرب سوريا بالغاز السام لالصاق التهمه ببشار !!! 	Negative
RT USERNAME: سوريا يا رب ليلٌ قد تلاه نهارُ والشّام يَقبع فوقَهاالجزّار بالله قولوا كُلّما صَلّيتم هَتَك الإله حِماك يا بشّار URL 	Negative
#سراج_برس | #siraj_press يوم لا يُنسى .. ذكرى مجزرة العلبي في #اللاذقية سراج برس-عمر أبو خليل  #سوريا #لبنان... URL 	Negative
#إرهاب_الأسد #سوريا #Syria #AssadsWarCrimes #حلب مقطع رائع يظهر لحظة اصابة أحد أبطال الجبهة الاسلامية_لواء... URL 	Negative
RT USERNAME: #شام #سوريا | قصف بقذائف الهاون يستهدف الحي الشرقي من مدينة بصرى الشام بريف درعا 	Negative
#طبخ #طبخي #اكلة_سورية #سورية #غرد_بصورة #دمشق ملوخية ورز  #food #cooking #Syria #Damascus URL 	Neutral
RT USERNAME: أموي #سوريا •  ريف #درعا : الجيش الإسلامي الحر يستهدف بقذائف الهاون معاقل لميليشيات النصيرية في مدينة بصرى الشام و يحقق إصـْـْابات مباشرة. 	Negative
RT USERNAME: #سوريا تمد يديها للعرب واخذلوها صاحت ولابه معتصم يوم صاحت  ومن قبل لايمسك يديها اخوها ماتت مثل مانخوة المجد ماتت URL 	Negative
RT USERNAME: #اقصر_قصة_حزينة   - اطفال سوريا يُقتلون يومياً. 	Negative
RT USERNAME: أعطيني حذاء وأعطيك بدلاًعنه كل أنظمة العرب! طفلة سورية تخاطب بائع الأحذية فهل ستتحرك ضمائركم الميتة ايها العرب URL 	Negative
RT USERNAME: USERNAME USERNAME USERNAME لستو مختلف معك بءنكم ف تبنون سوريا  بيءدي الشرفاء ولي ما باعو حبت تراب وب… 	Positive
RT USERNAME: 500 ألف طفل يتيم يعيشون بسوريا URL URL 	Negative
#الشعب_يرد_تحية_الرئيس لأنه قال لبيك غزة و لبيك سوريا 	Positive
RT USERNAME: #أوقفوا_الهدم_في_مكة هدم بيت الرسول وبناء مراحيض مكانه !  URL #اليمن #الكويت #السعودية #مصر #سوريا… 	Negative
RT USERNAME: ( يخرج الحي من الميت والميت من الحي ) اخراج جنين من بطن امه حي بعد ان استشهدت امه في سوريا رتويت للتاريخ والعالم URL 	Positive
RT USERNAME: #شام #سوريا | #حمص :قصف مدفعي من قبل قوات النظام يستهدف أحياء حمص المحاصرة 	Negative
USERNAME الخاتمه وحامضي على بوزك حرمه تسوق سيارة حنا القبايل نعارض قبل الدولة  روحي دافعي عن حرائر سوريا او حرائر فلسطين او الصومال 	Negative
RT USERNAME: لو كانت العدية سائل  لشربتها و لو كلفني ذلك الموت  سوريا حرة  #حمصياتي #سوريا #حمص 	Negative
RT USERNAME: #أمس  17 نيسان 1946  يوم الجلاء في #سوريا  يوم خرجت فيه #فرنسا و أُدخلت #روسيا واجرامها كل جلاء وانت بخير يا وطني URL 	Positive
RT USERNAME: ذكرت صحيفة «نيويورك تايمز» الأميركية أن عدد الإرهابيين الأردنيين الذين يقاتلون في سورية يتراوح بين 800 و1200 شخص، 	Negative
RT USERNAME: أموي #سوريا •  كتيبة الشهيد لؤي البصيري بقيادة القائد الثوري البطل جمال شرف   باقية باقية رغم انوف الحاقدين   الله أكبـْـْر … 	Positive
RT USERNAME: نساء سوريات يتفقدن الأحياء والأموات بعد انفجار هائل ولم يفكرن بإطلاق صيحة وآمعتصماه , فلن يرد عليهن أحد..#سوريا URL 	Negative
#إرهاب_الأسد #سوريا #Syria #AssadsWarCrimes #حلب  بعد أن راقبوها.. قوات النظام تغتصب فتاة وتقتل خالها في جمعية... URL 	Negative
RT USERNAME: أموي #سوريا •  ارتفاع عدد شهداء مجزرة جـْـْامع بلال الحبشي الى اكثر من 30 شهيد وأغلب الشهداء مجهولين الهوية بسبب... URL 	Negative
#Save_Aleppo  #SaveAleppo  #Aleppo  #Syria #سوريا #سورية #حلب  #Easter #HappyEaster URL 	Neutral
RT USERNAME: : #لبنان #بيروت  وصول أكثر من 30 جثة لعناصر من #حزب_اللات اللبناني مساء اليوم  جهنم وبئس المصير  #سوريا  #Syria\" 	Negative
RT USERNAME: المبعوث الاميركي يبدء غدا جولة في الشرق الاوسط للتشاور حول سوريا 	Neutral
RT USERNAME: نفس الشي يصير مع سوريا ، فلسطين وناس وبلدن بسبب انهم مسلمين والعتب على الحكومات منشغلة بمباني ومخططات وتاركين اخوانهم المسلمين😔 	Negative
RT USERNAME: أموي #سوريا •  تنسيقية عدوان :   استلام كمية من حليب الاطفال مقدمة من لقرية عـْـْدوان 18-4-2014   كل الشكر لمن... URL 	Positive
RT USERNAME: الشام تناديكم #الشيخ_نادر_النوري رحمه الله  من أواخر كلمات الشيخ #نادر_النوري للأمة … نصرة لأهل #سوريا …لله درك URL 	Positive
RT USERNAME: يمنع ابنته من الزواج برجل اجتمعت فيه كل المزايا لمجرّد أنه غير قبيلي، ويتزوّج على والدتها امرأة سورية لا يعرف اسم جدها الثا… 	Negative
RT USERNAME: #شام #سوريا| ريف #دمشق: قصف طرقات قرية عين الفيجة الزراعية بقذائف الدبابات من اللواء 104،مع قصف الطرقات الزراعية برشاشات خفيفة ومتوسطة. 	Negative
USERNAME: ثلاثة في الطائرة الماليزية و إثنين يجاهدون في سوريا ، حظي و أعرفه  URL 	Negative
RT USERNAME: #سوريا تصنف أخطر مكان في العالم للإعلاميين #العربية #سوريا  URL URL 	Negative
RT USERNAME: ما يدور في الأنبار بيد جيش المالكي لا يقل بشاعة عما يدور في سوريا بيد جيش الأسد . العدو واحد . المعركة واحده . الساحه واحده… 	Negative
RT USERNAME: #سورية #حلب اللهم أوقف طائرات الطاغيةبقدرتك أنت القادرعلى كل شيئ فقد عظمت المصيبةو قلت الحيلةو خذلهم العالم ولاناصرلهؤلاء المظلومين إلا أنت 	Negative
RT USERNAME: أموي #سوريا •  عاجل     كما وردنا   اسقاط طـْـْائرة ميغ بالمليحه بريف دمشق 	Negative
: المعارضة تتهم #الأسد باستخدام الكيمياوي 14 مرة بـ2014 #العربية #سوريا URL URL" 	Negative
أوغاريت الجبهة الإسلامية ll استهداف معاقل الشبيحة في ثكنة السكن الشبابي بمدينة ادلب URL #syria #سوريا 	Negative
RT USERNAME: حاان وقت الاماني فاسالوا الله ماشئتم  ابعثوا ما بـ خواطركم الى السماء  واذكروا اطفال سوريا بدعوه تسعد بها قلوبهم ..  #ساع… 	Positive
RT USERNAME: #سوريا   مقتل 12 عنصرا من قوات الاسد أثر كمين محكم من قبل الثوار على طريق خناصر- إثريا في ريف حلب 	Negative
14 قتيلاً بانفجار سيارة مفخخة أمام مسجد بحمص السورية URL  #حمص #سوريا #تفجير_مسجد_حمص 	Negative
الانتربول جالسين يدورون مراهقتين نمساويات اختفوا قبل اسبوعين وطلعت لهم صور وهم منضمين للثوار في سوريا URL" 	Negative
Zoom in Syria زووم إن سوريا || 18-4-2014 || رياح الموت  URL URL 	Negative
#سورية #حماة #ريف_حماة الشمالي لقطة لإحدى الأراضي الزراعية في بلدة #مورك URL 	Neutral
#ساعة_استجابة  يارب ارحمنا واغفر لنا ، وارحم موتانا وموتى المسلمين اللهم انصر اخواننا في سوريا وفي بورما وفي فلسطين ،، وفي كل مكان \" 	Positive
RT USERNAME: لاتقولوا تراب مابيشبع , قولوا دم مابيخلص  سورية معراج الشهداء ..!! 	Negative
RT USERNAME: الديرة/ عقيدان من #الجيش_الحرفي #حمص يسلمان نفسيهما لقوات النظام بعد اعتقال اسرتيهما وتهديدها باغتصاب النساءوقتل الأطفال #سوريا 	Negative
RT USERNAME: \" \"الرقة تذبح بصمت\".. ناشطون يفضحون ممارسات داعش  URL #سوريا URL" 	Negative
#Syria حلب: سقوط شهيدين وعدد من الجرحى جراء القصف بالبراميل المتفجرة على منطقة جسر الحج Aleppo: 2... URL via FaceBook 	Negative
RT USERNAME: #أوغاريت || #سوريا #حمص :: ملخص أهم أحداث حمص المحتلة ليوم 18 / 4 / 2014 حتى الساعة - جمعة انقذوا حمص قبل ان... URL 	Neutral
#شبكة_العمري_نيوز|#سوريا -#درعا - #نصيب: قامت جبهة النصرة بقصف جمرك نصيب الحدودي بقذائف الهاون رداً على القصف... URL 	Negative
الإخوه الأفاضل والمشايخ والدعاة نرجو دعم مشروع تشغيل المخابز في سوريا ولو ب رتويت  جمعية فهد الأحمد الإنسانيه URL 	Positive
\"USERNAME: هنا سوريا   URL" 	Neutral
#سوريا قصف ببراميل متفجرة من الطيران المروحي على محيط قرية #الحويز بريف #حماة الغربي  #Syria 	Negative
أموي #سوريا •  #وعر_24   الشيـْـْكا بدأت على الحي الجديد ..   اللهم سلم يارب .. 	Negative
#سوريا #درعا ❤️❤️ URL 	Neutral
#سوريا #syria #SaveAleppo أورينت نيوز| الثوار يتقدمون في جبهات حلب والنظام يتراجع - YouTube  URL 	Neutral
USERNAME  لست من سوريا كتبتها تعاطفآ معهم وجزاك الله خيرآ لردك وتجاوبك والله ييسر للشيخ أمره يارب 	Positive
RT USERNAME: USERNAME ألكلب يلي شحد على السوريين و زتهم بالخيم هو زبالتو و نسي أنو حتى ملابسو من سوريا و اقتصادو ازدهر بالشحادة الى م… 	Negative
RT USERNAME: يارب أنصرهم ، فليس لهم ناصر سوااااك !   #سوريا #الامارات #مصر #الوطن  #مجزرة_الغوطة_الشرقية  #الغوطة_تباد_بالكيماوي URL 	Positive
RT USERNAME: أموي #سوريا •  لـْـْم أرَ في ردود أتباع البغدادي الخارجي سوى الألفاظ النابية وقلة الحياء والكذب.. فهم من مدارس الرافضة يغرفو… 	Negative
USERNAME USERNAME  اردوغان الحاكم اللي يربطنا في اﻹسلام هو الوحيد اللي موقفه واضح من ثورة سوريا انقلاب مصر ويقولك يريداعاده الدوله 	Positive
USERNAME لعنة الشعب السوري ستطارد قطر والسعودية وكل دولة ساهمت في التدخل السافر في تأجيج الصراع في سوريا وسمحت لنفسها تمويل الارهاب 	Negative
RT USERNAME: اللهم انصر اخوننا المستضعفين في سوريا 💕🙌 	Positive
RT USERNAME: #شام #سوريا | ريف #حمص : قصف بالمدفعية الثقيلة من قبل قوات النظام يستهدف أطراف مدينة تدمر. 	Negative
RT USERNAME: \"لحظة عـجــز\".. بانتظار خروج الــروح.. والله ستسألون عن تخاذلكم هذا يا حكام العرب !!  #سوريا  URL 	Negative
#حلب أصوات الاشتباكات تعلو في جمعية الزهراء أثناء تحريرها من قبل الثوار URL #دمشق 	Negative
#ساعة_استجابة  اللهم انصر #سوريا   اللهم انصر #سوريا 	Positive
RT USERNAME: #شام #سوريا | ريف #ديرالزور : قوات  النظام تقصف براجمات الصواريخ مدينة موحسن. 	Negative
#Syria #سورية #حلب | القصف بالبراميل المتفجرةعلى حي الفردوس دوار جسر الحج مساء اليوم 18/4/2014... URL 	Negative
\"USERNAME: فطس العميد الجرذ ركن حسن عثمان رئيس فرع التحقيق في المخابرات الجوية بحلب  #سوريا\" 	Negative
#حمص/#سورية #حمص لن تسقط..وستبقى صامدة بابطالها وبشموخ جبينهم العالي #حمص....ستظل العدية♥ URL 	Positive
#Syria #شام #سوريا | ريف #درعا : إشتباكات عنيفة بين الجيش الحر وقوات النظام شرق مدينة ن...: #... URL #FF #news 	Negative
RT USERNAME: الجاذبية في سوريا شديدة، إلى درجة أنها تسحب كل شيء، وبسرعة، إلى باطن الأرض. 	Negative
RT USERNAME: اللهم ارحم موتانا وموتى المسلمين اللهم اشف مرضانا ومرضى المسلمين اللهم انصر المستضعفين في سوريا وبورما وفلسطين وفي كل مكان وز… 	Positive
أموي #سوريا •  SYRIA   #دير الزور : ميليشيات النصيرية تقصف بالمدفعية الثقيلة حي الحويقة في دير الزور تزامناً مع... URL 	Negative
#سوريا | مصرع 20 جنديًّا في هجوم للثوار على مقرات الأسد بريف حمص: شن الثوار، مساء اليوم الجمعة، هجومًا على أحد... URL 	Negative
RT USERNAME: “ضاحي خلفان”: بشرى الأسد تستقر في دبي مع أولادها استمر بقتل السوريين يا بشار عائلتك بأمان وتستمتع بجمال دبي  #دبي #سوريا 	Negative
RT USERNAME: سـ أخبر الله بكُل شيء \" هي آخر جملة قالها طفل سوري عمره ثلاثُ سنوات قبل أن تفارقه الحياة.  #سوريا URL 	Negative
RT USERNAME: أموي #سوريا •     -#حماة_مورك-   إشتباكات عنيفة بالرشاشات الخفيفة والمتوسطة على الجبهة الجنوبية لمدينة مورك... URL 	Negative
الجيش التركي يقتل كورديا على الحدود مع غربي كوردستان #عفرين #تركيا #سوريا... URL 	Negative
: لا تحزني يا صغيرتي ستجتمعين أنتِ ومن خذلك أمام الله ولن يضيع حقك ،،، #سوريا . URL 	Negative
USERNAME حال #الجزائر مو حال مصر و سوريا و غيرون #انتخابات_الجزائر الشعب هو الي اختار و نحنا انكوينا قبل كل هادول ونحن نعرف خيارنا الانسب 	Positive
أموي #سوريا •  #الجبهة_الإسلامية #لواء_الحق #كتائب_الأنصار :     #حمص_المحاصرة 18-4-2014 :     قـْـْامت وحدة... URL 	Neutral
#سوريا مصرع 20 جنديًّا في هجوم للثوار على مقرات الأسد بريف حمص: شن الثوار، مساء اليوم الجمعة، هجومًا على أحد م... URL 	Negative
Fresh: \"الرقة تذبح بصمت\".. ناشطون يفضحون ممارسات داعش URL #news #syria 	Negative
RT USERNAME: سوريا تباد بالكيماوي ،  ربيّ أشتدَّ الكرب بأخواننا في الشام اللهم ارحمهم اللهم سلم أهلهم اللهم عجل بفرجكَ عليهم فلا ناصرَ … 	Negative
#مؤسسة_الأساورتي تقدم: (مهلاً ياشيخ أيمن | ويل للمُطففين | لسنا خوارج)  URL #حمص_تحت_النار #شام_الإسلام #حلب #دمشق 	Negative
RT USERNAME: آخر ساعة من يوم الجمعة ساعة استجابة، اذكروني واخواننا في سوريا بالدعاء  #غرد_بالخير 	Positive
RT USERNAME: | #سوريا - حلب | إرسال محمد الجليلاتي \"أبو الجود\" القائد الميداني في #الجيش_الحر مع /٧/ من عناصره لملاقاة \"الحوريات\" ..#تصفيير 	Neutral
#شام #سوريا | ريف #إدلب سقوط عدد من الجرحى جراء القصف بالبراميل المتفجرة على قرية قطرة بريف معرة النعمان 	Negative
RT USERNAME: الثورة في سوريا: هل حربنا هي طائفية؟ حرب بين السنة والشيعة؟:  \" أن تبقى ضحية... URL #سوريا #سكاكا #صوير 	Negative
RT USERNAME: URL  #تحرر  #نيك #دياثه  #مخانيث #سكس_سعودي  # سوريا  #أبوظبي   #لبنان #بني سويف 	Neutral
